ds,y
2019-09-21,0.0
2019-09-22,0.000793191
2019-09-23,0.825541786
2019-09-24,0.32033228
2019-09-25,1.082554085
2019-09-26,0.107653784
2019-09-27,0.493901361
2019-09-28,0.376698452
2019-09-29,0.304074848
2019-09-30,0.591747849
2019-10-01,0.731018901
2019-10-02,1.111586215
2019-10-03,0.960902689
2019-10-04,0.964013419
2019-10-05,0.979731886
2019-10-06,1.085546892
2019-10-07,1.262549787
2019-10-08,1.331183307
2019-10-09,1.411429732
2019-10-10,1.709116779
2019-10-11,1.735783527
2019-10-12,1.760959886
2019-10-13,2.558601513
2019-10-14,1.48420495
2019-10-15,2.089944633
2019-10-16,2.840568572
2019-10-17,2.162204307
2019-10-18,3.113269737
2019-10-19,2.746580938
2019-10-20,3.079242819
2019-10-21,2.647838543
2019-10-22,3.118230798
2019-10-23,2.442888497
2019-10-24,3.042407809
2019-10-25,3.012894439
2019-10-26,3.290825745
2019-10-27,3.274029416
2019-10-28,3.586805202
2019-10-29,3.170426377
2019-10-30,3.572077947
2019-10-31,2.693130469
2019-11-01,2.399656142
2019-11-02,2.433776379
2019-11-03,2.593848576
2019-11-04,3.323496491
2019-11-05,2.951387252
2019-11-06,3.216948781
2019-11-07,2.877026963
2019-11-08,3.057523831
2019-11-09,2.858495329
2019-11-10,2.533082553
2019-11-11,3.223959721
2019-11-12,2.973617615
2019-11-13,3.360834071
2019-11-14,2.31040157
2019-11-15,1.843596513
2019-11-16,1.631977575
2019-11-17,1.644604449
2019-11-18,1.497246827
2019-11-19,1.267859555
2019-11-20,1.587253694
2019-11-21,2.131085418
2019-11-22,1.995083459
2019-11-23,2.330776602
2019-11-24,1.742724907
2019-11-25,2.588660848
2019-11-26,1.505169543
2019-11-27,2.226315816
2019-11-28,2.973069578
2019-11-29,2.72388059
2019-11-30,2.964093274
2019-12-01,3.88820192
2019-12-02,3.938590458
2019-12-03,5.138308366
2019-12-04,5.482323172
2019-12-05,6.133334991
2019-12-06,6.366939393
2019-12-07,6.434758029
2019-12-08,6.102308899
2019-12-09,6.236527145
2019-12-10,6.815921859
2019-12-11,7.07286465
2019-12-12,6.274130876
2019-12-13,7.375977982
2019-12-14,6.916245052
2019-12-15,7.408050282
2019-12-16,7.863842943
2019-12-17,6.783895049
2019-12-18,7.583081086
2019-12-19,7.763779393
2019-12-20,7.344577122
2019-12-21,7.982311471
2019-12-22,6.946042709
2019-12-23,7.495289393
2019-12-24,7.450862838
2019-12-25,6.82734429
2019-12-26,7.095401048
2019-12-27,6.322858273
2019-12-28,6.453783819
2019-12-29,6.90142039
2019-12-30,6.364222316
2019-12-31,6.487956156
2020-01-01,6.055526889
2020-01-02,6.416777674
2020-01-03,6.695885552
2020-01-04,6.381637205
2020-01-05,6.151061938
2020-01-06,6.604086168
2020-01-07,7.181114215
2020-01-08,7.946744172
2020-01-09,8.034009599
2020-01-10,8.034351705
2020-01-11,7.944531429
2020-01-12,7.573324241
2020-01-13,7.164514393
2020-01-14,6.309727531
2020-01-15,7.418626769
2020-01-16,7.00182315
2020-01-17,8.029547488
2020-01-18,7.330337859
2020-01-19,7.606007772
2020-01-20,7.110366293
2020-01-21,7.131337879
2020-01-22,6.76488602
2020-01-23,7.260526894
2020-01-24,7.544141343
2020-01-25,7.33093608
2020-01-26,7.568258573
2020-01-27,7.486801358
2020-01-28,8.117012517
2020-01-29,7.415766826
2020-01-30,7.780389211
2020-01-31,7.830950713
2020-02-01,7.92206928
2020-02-02,7.76971031
2020-02-03,8.176501818
2020-02-04,7.753128355
2020-02-05,7.44780328
2020-02-06,6.606752799
2020-02-07,7.60677813
2020-02-08,7.157498503
2020-02-09,7.218478047
2020-02-10,7.485049457
2020-02-11,7.152312945
2020-02-12,7.506441261
2020-02-13,7.029261517
2020-02-14,7.06516091
2020-02-15,6.585496947
2020-02-16,6.108246159
2020-02-17,5.913673164
2020-02-18,6.844251596
2020-02-19,5.936896508
2020-02-20,7.146617054
2020-02-21,5.698388374
2020-02-22,6.41938589
2020-02-23,5.351951701
2020-02-24,6.013657257
2020-02-25,5.676967765
2020-02-26,5.362054145
2020-02-27,5.136908683
2020-02-28,6.13872931
2020-02-29,5.468684959
2020-03-01,5.457250359
2020-03-02,6.305916197
2020-03-03,6.15007653
2020-03-04,6.565829307
2020-03-05,6.966321242
2020-03-06,6.31170634
2020-03-07,5.943952602
2020-03-08,5.841843614
2020-03-09,6.681780332
